Nr Code,Variable Name,Is TT,Intelligent Match,Consensus Match,Final Match,Intelligent Text,Consensus Text,Final Text,Intelligent Reason,Consensus Reason,Combined Reason
NR23,Piedziņa,Y,,,,,,,,,
NR24,4X4 pilna laika (4WD / AWD),N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR25,Pārnesumkārba,Y,,,,,,,,,
NR26,Automātiskā pārnesumkārba,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR27,Hibrīda Tehnoloģija,Y,,,,,,,,,
NR28,mHEV,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR29,FHEV,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR30,PHEV,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR31,Krāsa,Y,,,,,,,,,
NR32,Metāliska krāsa kā standarts,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR33,Ārējais Izskats -  Funkcionāls,Y,,,,,,,,,
NR34,Durvju spoguļi - Elektriski/sildāmi,N,Yes,Yes,Yes,"Electrically adjustable, foldable, and heated side mirrors.","""Electrically adjustable, foldable, and heated side mirrors.""","Electrically adjustable, foldable, and heated side mirrors.",LV: Matches the description of adjustable side mirrors,Consensus: 3Y/0M/0N - Clearly mentioned as part of the adjustable side mirrors.,Combined: I:Yes/C:Yes = Yes
NR35,Durvju spoguļi - elektriski/sildāmi/nolokāmi,N,Yes,Yes,Yes,"Electrically adjustable, foldable, and heated side mirrors.","""Electrically adjustable, foldable, and heated side mirrors.""","Electrically adjustable, foldable, and heated side mirrors.",LV: Matches the description of adjustable side mirrors,Consensus: 3Y/0M/0N - Clearly mentioned as part of the adjustable side mirrors.,Combined: I:Yes/C:Yes = Yes
NR36,Priekšējie vējstikla tīrītāji - automātiski,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR37,Stikls - tonēts ar privātuma aizsardzību aizmugurē,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR38,Sildāms vējstikls,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR39,Bagāžnieka durvis - elektriski atveramas,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR40,Jumta sliedes,N,Yes,Yes,Yes,Available in black (not available for Coupe) or silver (not available for Coupe).,"""Roof Rails: Available in black (not available for Coupe) or silver (not available for Coupe).""",Available in black (not available for Coupe) or silver (not available for Coupe).,LV: Matches the description of roof rails,Consensus: 3Y/0M/0N - Clearly mentioned as part of the design features.,Combined: I:Yes/C:Yes = Yes
NR41,Panorāmas jumts,N,Yes,Yes,Yes,With tinted glass (available only for Coupe).,"""Panoramic Glass Roof: With tinted glass (available only for Coupe).""",With tinted glass (available only for Coupe).,LV: Matches the description of panoramic glass roof,Consensus: 3Y/0M/0N - Clearly mentioned as an additional feature.,Combined: I:Yes/C:Yes = Yes
NR42,Ārējais Izskats -  Apgaismojums,Y,,,,,,,,,
NR43,Dienas gaitas lukturi - LED,N,Yes,Yes,Yes,LED front and rear headlights with a rain sensor that automatically activates low beams or daytime running lights based on conditions.,"""LED front and rear headlights.""",LED front and rear headlights with a rain sensor that automatically activates low beams or daytime running lights based on conditions.,LV: Matches the description of light assist,Consensus: 3Y/0M/0N - Clearly mentioned as part of the light assist feature.,Combined: I:Yes/C:Yes = Yes
NR44,Priekšējie miglas lukturi - LED,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR45,Priekšējie miglas lukturi – LED integrēti,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR47,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR48,Priekšējie lukturi – LED,N,Yes,Yes,Yes,LED front and rear headlights with a rain sensor that automatically activates low beams or daytime running lights based on conditions.,"""LED front and rear headlights.""",LED front and rear headlights with a rain sensor that automatically activates low beams or daytime running lights based on conditions.,LV: Matches the description of light assist,Consensus: 3Y/0M/0N - Clearly mentioned as part of the light assist feature.,Combined: I:Yes/C:Yes = Yes
NR49,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR50,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR51,Interjers – Komforts/Ērtības,Y,,,,,,,,,
NR52,Gaisa kondicionētājs,N,No,Yes,Maybe,,"""3-Zone Climate Control: Climatronic system for customized temperature settings.""","""3-Zone Climate Control: Climatronic system for customized temperature settings.""",: No equivalent found in either language,Consensus: 2Y/0M/1N - Clearly mentioned as part of the climate control features.,Combined: I:No/C:Yes = Maybe
NR53,Gaisa kondicionētājs - EATC 1 zona,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR54,Gaisa kondicionētājs - EATC 2 zonas,N,No,No,No,,"""3-Zone Climate Control: Climatronic system for customized temperature settings.""","""3-Zone Climate Control: Climatronic system for customized temperature settings.""",: No equivalent found in either language,"Consensus: 1Y/0M/2N - Clearly mentioned as ""3-Zone Climate Control.""",Combined: I:No/C:No = No
NR55,Gaisa kondicionētājs - EATC 3 zonas,N,Yes,Yes,Yes,Climatronic system for customized temperature settings.,"""3-Zone Climate Control: Climatronic system for customized temperature settings.""",Climatronic system for customized temperature settings.,LV: Matches the description of 3-zone climate control,Consensus: 2Y/0M/1N - Clearly mentioned as part of the climate control features.,Combined: I:Yes/C:Yes = Yes
NR56,Salona gaisa attīrītājs,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR57,Apgaismojums - salons ar daudzkrāsu LED,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR58,Centrālā konsole ar roku balstu,N,No,Yes,Maybe,,"""Front Armrest: Includes a storage compartment.""","""Front Armrest: Includes a storage compartment.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentioned as part of the access and convenience features.,Combined: I:No/C:Yes = Maybe
NR59,Automātiski tumšojams salona spogulis,N,Yes,Yes,Yes,Automatically adjusts to reduce glare.,"""Auto-Dimming Rearview Mirror: Automatically adjusts to reduce glare.""",Automatically adjusts to reduce glare.,LV: Matches the description of auto-dimming rearview mirror,Consensus: 3Y/0M/0N - Clearly mentioned as part of the access and convenience features.,Combined: I:Yes/C:Yes = Yes
NR60,12 V bagāžas nodalījumā,N,Yes,Yes,Yes,Located in the trunk.,"""12V Power Outlet: Located in the trunk.""",Located in the trunk.,LV: Matches the description of 12V power outlet,Consensus: 3Y/0M/0N - Clearly mentioned as part of the access and convenience features.,Combined: I:Yes/C:Yes = Yes
NR61,Bezvadu uzlāde,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR62,Interjers – In Car Entertainment/Komunikācijas,Y,,,,,,,,,
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",N,Yes,Yes,Yes,"13"" touchscreen with voice control, Smart Link, digital radio, and 2x USB-C ports.","""Touchscreen Display: 13"" touchscreen with voice control.""","13"" touchscreen with voice control, Smart Link, digital radio, and 2x USB-C ports.",LV: Matches the description of touchscreen display,Consensus: 3Y/0M/0N - Clearly mentioned as part of the audio and connectivity features.,Combined: I:Yes/C:Yes = Yes
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR66,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N,No,Yes,Maybe,,"""Touchscreen Display: 13"" touchscreen with voice control.""","""Touchscreen Display: 13"" touchscreen with voice control.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentioned as part of the audio and connectivity features.,Combined: I:No/C:Yes = Maybe
NR67,Zīmola audio sistēma,N,Yes,Yes,Yes,4 speakers in the front and 4 speakers in the rear.,"""Sound System: 4 speakers in the front and 4 speakers in the rear.""",4 speakers in the front and 4 speakers in the rear.,LV: Matches the description of sound system,Consensus: 3Y/0M/0N - Clearly mentioned as part of the audio and connectivity features.,Combined: I:Yes/C:Yes = Yes
NR68,Navigācijas centrs,N,Yes,Yes,Yes,"Includes navigation system with a 3-year subscription to the ""Infotainment Online"" multimedia package.","""Infotainment Basic Package: Includes navigation system.""","Includes navigation system with a 3-year subscription to the ""Infotainment Online"" multimedia package.",LV: Matches the description of infotainment basic package,Consensus: 3Y/0M/0N - Clearly mentioned as part of the audio and connectivity features.,Combined: I:Yes/C:Yes = Yes
NR69,Navigācijas centrs - savienots,N,No,Yes,Maybe,,"""Infotainment Basic Package: Includes navigation system with a 3-year subscription to the 'Infotainment Online' multimedia package.""","""Infotainment Basic Package: Includes navigation system with a 3-year subscription to the 'Infotainment Online' multimedia package.""",: No equivalent found in either language,Consensus: 2Y/0M/1N - Clearly mentioned as part of the audio and connectivity features.,Combined: I:No/C:Yes = Maybe
NR70,Android Auto un Apple CarPlay,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR71,Android Auto un Apple CarPlay - bezvadu,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR72,Vieds palīgs ar AI,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR73,Avārijas zvans,N,Yes,Yes,Yes,For immediate assistance.,"""Emergency Call Function: For immediate assistance.""",For immediate assistance.,LV: Matches the description of emergency call function,Consensus: 3Y/0M/0N - Clearly mentioned as part of the audio and connectivity features.,Combined: I:Yes/C:Yes = Yes
NR74,Head - Up displejs,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR75,Salons -  Instrumenti/Vadības Elementi,Y,,,,,,,,,
NR76,Apsildāms stūres rats,N,Yes,Yes,Yes,2-spoke leather steering wheel with heating.,"""Multifunction Steering Wheel: 2-spoke leather steering wheel with heating.""",2-spoke leather steering wheel with heating.,LV: Matches the description of multifunction steering wheel,Consensus: 3Y/0M/0N - Clearly mentioned as part of the access and convenience features.,Combined: I:Yes/C:Yes = Yes
NR77,Ādas (ieskaitot Sensico) stūres rats,N,No,No,No,,"""2-spoke leather steering wheel with heating.""","""2-spoke leather steering wheel with heating.""",: No equivalent found in either language,Consensus: 1Y/0M/2N - Clearly mentioned as part of the access and convenience features.,Combined: I:No/C:No = No
NR78,"Digitālais displejs - 8,9 collas",N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR79,"Digitālais displejs 9“ - 11,9”",N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR80,"Digitālais displejs 12+""",N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR81,Interjers -  Sēdekļi,Y,,,,,,,,,
NR82,Apsildāms vadītāja sēdeklis,N,Yes,Yes,Yes,Heated Front Seats.,"""Heated Front Seats.""",Heated Front Seats.,LV: Matches the description of heated front seats,Consensus: 3Y/0M/0N - Clearly mentioned as part of the additional features.,Combined: I:Yes/C:Yes = Yes
NR83,Apsildāms pasažiera sēdeklis,N,No,Yes,Maybe,,"""Heated Front Seats.""","""Heated Front Seats.""",: No equivalent found in either language,Consensus: 2Y/0M/1N - Clearly mentioned as part of the additional features.,Combined: I:No/C:Yes = Maybe
NR84,Apsildāmi aizmugurējie sēdekļi,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR85,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR86,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR87,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR88,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR89,Elektriski regulējams vadītāja sēdeklis,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR90,Elektriski regulējams pasažiera sēdeklis,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR91,Elektriski regulējams vadītāja sēdeklis ar atmiņu,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR92,Elektriski regulējams pasažiera sēdeklis ar atmiņu,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR93,Sēdekļu apdare – audums/sintētiskā āda,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR94,Sēdekļu apdare – Alcantara/sintētiskā āda,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR95,Sēdekļu apdare – sintētiskā āda,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR96,Interjers – Vadītāja Palīdzības Tehnoloģijas,Y,,,,,,,,,
NR97,Automātiskā parkošanās sistēma,N,No,Yes,Maybe,,"""Parking Sensors: Front and rear parking sensors.""","""Parking Sensors: Front and rear parking sensors.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentioned as part of the access and convenience features.,Combined: I:No/C:Yes = Maybe
NR98,Aklās zona uzraudzība,N,Yes,Yes,Yes,"Monitors traffic in the vehicle's blind spots within a 90m radius, alerting the driver to approaching vehicles.","""Side Assist: Monitors traffic in the vehicle's blind spots.""","Monitors traffic in the vehicle's blind spots within a 90m radius, alerting the driver to approaching vehicles.",LV: Matches the description of side assist,Consensus: 3Y/0M/0N - Clearly mentioned as part of the safety features.,Combined: I:Yes/C:Yes = Yes
NR99,Aklās zona uzraudzība ar šķērssatiksmes brīdinājumu,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR100,Kruīza kontrole,N,Yes,Yes,Yes,Maintains a set speed and distance from the vehicle ahead.,"""Adaptive Cruise Control: Maintains a set speed and distance from the vehicle ahead.""",Maintains a set speed and distance from the vehicle ahead.,LV: Matches the description of adaptive cruise control,Consensus: 3Y/0M/0N - Clearly mentioned as part of the safety features.,Combined: I:Yes/C:Yes = Yes
NR101,Kruīza kontrole - adaptīva,N,No,Yes,Maybe,,"""Adaptive Cruise Control: Maintains a set speed and distance from the vehicle ahead.""","""Adaptive Cruise Control: Maintains a set speed and distance from the vehicle ahead.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentioned as part of the safety features.,Combined: I:No/C:Yes = Maybe
NR102,Kruīza kontrole - adaptīva Stop&Go,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR103,Kruīza kontrole - adaptīva satiksmes sastrēgumos,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR104,"Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu",N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR105,Joslas centrēšnas un apdzīšanas palīgs,N,No,Yes,Maybe,,"""Lane Assistant: Lane-keeping assistance system.""","""Lane Assistant: Lane-keeping assistance system.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentioned as part of the safety features.,Combined: I:No/C:Yes = Maybe
NR106,Kamera - priekšējais 360° skats,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR107,Kamera - aizmugurējais skats,N,No,Yes,Maybe,,"""Rearview camera.""","""Rearview camera.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentioned as part of the parking sensors feature.,Combined: I:No/C:Yes = Maybe
NR108,Parkošanās palīgsistēma – priekšējie sensori,N,Yes,Yes,Yes,Front and rear parking sensors with a rearview camera.,"""Parking Sensors: Front and rear parking sensors.""",Front and rear parking sensors with a rearview camera.,LV: Matches the description of parking sensors,Consensus: 3Y/0M/0N - Clearly mentioned as part of the access and convenience features.,Combined: I:Yes/C:Yes = Yes
NR109,Parkošanās palīgsistēma – aizmugurējie sensori,N,Yes,Yes,Yes,Front and rear parking sensors with a rearview camera.,"""Parking Sensors: Front and rear parking sensors.""",Front and rear parking sensors with a rearview camera.,LV: Matches the description of parking sensors,Consensus: 3Y/0M/0N - Clearly mentioned as part of the access and convenience features.,Combined: I:Yes/C:Yes = Yes
NR110,Mehānika – Šasija,Y,,,,,,,,,
NR111,AEBS ar gājēju un velosipēdistu atpazīšanu,N,No,Yes,Maybe,,"""Pre-Crash Basic System: Includes emergency braking.""","""Pre-Crash Basic System: Includes emergency braking.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentioned as part of the safety features.,Combined: I:No/C:Yes = Maybe
NR112,Sadursmes mīkstināšana –2. sadursme,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR113,Stāvbremze – elektriska,N,Yes,Yes,Yes,"Features ""Autohold"" function.","""Electronic Parking Brake: Features 'Autohold' function.""","Features ""Autohold"" function.",LV: Matches the description of electronic parking brake,Consensus: 3Y/0M/0N - Clearly mentioned as part of the access and convenience features.,Combined: I:Yes/C:Yes = Yes
NR114,Mehānika – Rati/Riepas,Y,,,,,,,,,
NR115,"16"" tērauda rati",N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR116,"16"" vieglmetāla rati",N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR117,"17"" tērauda riteņi",N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR118,"17"" vieglmetāla riteņi",N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR119,"18"" tērauda riteņi",N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR120,"18"" vieglmetāla riteņi",N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR121,"19"" vieglmetāla riteņi",N,Yes,Yes,Yes,PROTEUS design with 235/55 tires in front and 255/50 R19 tires in the rear.,"""19"" Alloy Wheels: PROTEUS design.""",PROTEUS design with 235/55 tires in front and 255/50 R19 tires in the rear.,"LV: Matches the description of 19"" alloy wheels",Consensus: 3Y/0M/0N - Clearly mentioned as part of the design features.,Combined: I:Yes/C:Yes = Yes
NR122,Rezerves ritenis,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR123,Riteņu pārsegi,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR124,Drošība Un Aizsardzība,Y,,,,,,,,,
NR125,Gaisa spilveni – ceļgaliem vai centrā,N,No,Yes,Maybe,,"""Front airbags.""","""Front airbags.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentioned as part of the safety features.,Combined: I:No/C:Yes = Maybe
NR126,Gaisa spilveni – aizkari,N,Yes,Yes,Yes,Curtain airbags and front side airbags.,"""Head Airbag System: Curtain airbags and front side airbags.""",Curtain airbags and front side airbags.,LV: Matches the description of head airbag system,Consensus: 3Y/0M/0N - Clearly mentioned as part of the safety features.,Combined: I:Yes/C:Yes = Yes
NR127,Gaisa spilveni – sānos,N,Yes,Yes,Yes,Front airbags with the option to deactivate the passenger airbag.,"""Head Airbag System: Curtain airbags and front side airbags.""",Front airbags with the option to deactivate the passenger airbag.,LV: Matches the description of front airbags,Consensus: 3Y/0M/0N - Clearly mentioned as part of the safety features.,Combined: I:Yes/C:Yes = Yes
NR128,Signalizācija – perimetrs,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR129,Bezatslēgas iedarbināšana,N,Yes,Yes,Yes,Kessy system for keyless access and starting.,"""Keyless Entry and Engine Start: Kessy system for keyless access.""",Kessy system for keyless access and starting.,LV: Matches the description of keyless entry and engine start,Consensus: 3Y/0M/0N - Clearly mentioned as part of the access and convenience features.,Combined: I:Yes/C:Yes = Yes
NR130,Bezatslēgas piekļuve,N,Yes,Yes,Yes,Kessy system for keyless access and starting.,"""Keyless Entry and Engine Start: Kessy system for keyless access.""",Kessy system for keyless access and starting.,LV: Matches the description of keyless entry and engine start,Consensus: 3Y/0M/0N - Clearly mentioned as part of the access and convenience features.,Combined: I:Yes/C:Yes = Yes
NR131,Garantija,Y,,,,,,,,,
NR132,Papildus garantija – 2 gadi,N,No,Yes,Maybe,,"""Manufacturer's Warranty: 5 years or 100,000km mileage limit.""","""Manufacturer's Warranty: 5 years or 100,000km mileage limit.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentioned as part of the warranty features.,Combined: I:No/C:Yes = Maybe
NR133,Papildus garantija – 3 gadi,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR134,Papildus garantija – 4 gadi,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR135,Papildus garantija – 5 gadi,N,Yes,Yes,Yes,"5 years or 100,000km mileage limit.","""Manufacturer's Warranty: 5 years or 100,000km mileage limit.""","5 years or 100,000km mileage limit.",LV: Matches the description of manufacturer's warranty,Consensus: 3Y/0M/0N - Clearly mentioned as part of the warranty features.,Combined: I:Yes/C:Yes = Yes
NR136,Papildus garantija – 6 gadi,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR137,Papildus garantija – 7 gadi,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR138,Papildus garantija – 10 gadi,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
